player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,87,54,758,2,1,0,0,0,880,1418,50,0,JeudJe00
Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,93,63,628,4,0,0,0,0,870,1498,51,0,SmitJa06
Tyrod Taylor,NYG,QB,34,11,5,1341,5,3,38,197,0,0,0,0,0,4,0,0,0,870,873,35,0,TaylTy00
Deshaun Watson,CLE,QB,28,6,6,1115,7,4,26,142,1,0,0,0,0,5,2,3,0,870,868,36,0,WatsDe00
Marquise Brown,ARI,WR,26,14,14,0,0,0,2,23,0,101,51,574,4,0,0,0,0,840,1347,52,0,BrowMa04
Kyle Pitts,ATL,TE,23,17,15,0,0,0,1,-4,0,90,53,667,3,0,0,0,0,840,1373,13,0,PittKy00
DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,66,35,525,5,2,1,0,0,810,1155,54,0,CharDJ00
Justice Hill,BAL,RB,26,16,5,0,0,0,84,387,3,39,28,206,1,1,1,0,0,810,1093,42,0,HillJu00
Dontayvion Wicks,GNB,WR,22,15,6,14,0,0,1,1,0,58,39,581,4,3,1,0,0,810,1198,53,0,WickDo00
Ty Chandler,MIN,RB,25,17,4,0,0,0,102,461,3,25,21,159,0,0,0,0,0,800,1010,44,0,ChanTy01
D'Onta Foreman,CHI,RB,27,9,8,0,0,0,109,425,4,16,11,77,1,1,0,0,0,800,912,43,0,ForeDO00
Ryan Tannehill,TEN,QB,35,10,8,1616,4,7,17,74,1,1,0,0,0,4,0,0,0,800,800,37,0,TannRy00
Antonio Gibson,WAS,RB,25,16,2,0,0,0,65,265,1,59,48,389,2,4,2,0,0,790,1274,45,0,GibsAn00
Tyler Boyd,CIN,WR,29,17,13,0,0,1,2,11,0,98,67,667,2,0,0,0,0,780,1448,55,0,BoydTy00
Hunter Henry,NWE,TE,29,14,10,0,0,0,0,0,0,61,42,419,6,1,0,0,0,780,1199,14,0,HenrHu00
Dallas Goedert,PHI,TE,28,14,14,0,0,0,1,1,0,83,59,592,3,0,0,0,0,770,1363,15,0,GoedDa00
Dalton Kincaid,BUF,TE,24,16,11,0,0,0,0,0,0,91,73,673,2,1,1,0,0,770,1503,16,0,KincDa00
Michael Wilson,ARI,WR,23,13,12,0,0,0,0,0,0,58,38,565,3,0,0,1,0,770,1145,56,0,WilsMi02
Jahan Dotson,WAS,WR,23,17,16,0,0,0,0,0,0,83,49,518,4,0,0,0,0,760,1248,57,0,DotsJa00
Rico Dowdle,DAL,RB,25,16,0,0,0,0,89,361,2,22,17,144,2,0,0,0,0,750,915,47,0,DowdRi01
Jaleel McLaughlin,DEN,RB,23,17,3,0,0,0,76,410,1,36,31,160,2,0,0,0,0,750,1060,46,0,McLaJa00
Khalil Shakir,BUF,WR,23,17,10,0,0,0,1,10,0,45,39,611,2,1,0,0,0,740,1131,58,0,ShakKh00
Jonnu Smith,ATL,TE,28,17,6,0,0,0,1,0,0,70,50,582,3,1,1,0,0,740,1242,17,0,SmitJo01
Tutu Atwell,LAR,WR,24,16,14,0,0,0,5,31,0,67,39,483,3,0,0,1,1,730,1124,59,0,AtweTu00
Odell Beckham Jr.,BAL,WR,31,14,6,0,0,0,0,0,0,64,35,565,3,1,1,0,0,730,1075,63,0,BeckOd00
Zach Charbonnet,SEA,RB,22,16,2,0,0,0,108,462,1,40,33,209,0,0,0,0,0,730,1061,48,0,CharZa00
Elijah Moore,CLE,WR,23,17,12,0,0,0,9,11,0,104,59,640,2,2,2,0,0,730,1321,62,0,MoorEl00
Anthony Richardson,IND,QB,21,4,4,577,3,1,25,136,4,0,0,0,0,3,1,0,2,730,727,38,0,RichAn03
Wan'Dale Robinson,NYG,WR,22,15,8,0,0,0,9,87,1,78,60,525,1,0,0,0,0,730,1332,61,0,RobiWa01
Christian Watson,GNB,WR,24,9,9,0,0,0,4,11,0,53,28,422,5,0,0,0,0,730,1013,60,0,WatsCh00
K.J. Osborn,MIN,WR,26,16,12,0,0,0,0,0,0,75,48,540,3,1,0,0,0,720,1200,64,0,OsboKJ00
Logan Thomas,WAS,TE,32,16,15,0,0,0,1,2,0,78,55,496,4,2,2,1,0,720,1268,18,0,ThomLo00
Isaiah Likely,BAL,TE,23,17,8,0,0,0,0,0,0,40,30,411,5,0,0,0,0,710,1011,19,0,LikeIs00
Samaje Perine,DEN,RB,28,17,1,0,0,0,53,238,1,56,50,455,0,3,2,0,0,710,1213,49,0,PeriSa00
Cade Otton,TAM,TE,24,17,17,0,0,0,0,0,0,67,47,455,4,1,1,1,0,700,1165,20,0,OttoCa00
Dameon Pierce,HOU,RB,23,14,7,0,0,0,145,416,2,17,13,101,0,0,0,0,0,700,827,50,0,PierDa01
Noah Brown,HOU,WR,27,10,7,0,0,0,1,-1,0,55,33,567,2,0,0,0,0,690,1016,66,0,BrowNo00
Josh Palmer,LAC,WR,24,10,6,0,0,0,1,6,0,61,38,581,2,1,1,0,0,690,1067,65,0,PalmJo00
Bailey Zappe,NWE,QB,24,10,6,1272,6,9,17,83,1,0,0,0,0,2,1,0,0,690,692,39,0,ZappBa00
Roschon Johnson,CHI,RB,22,15,0,0,0,0,81,352,2,40,34,209,0,1,0,0,0,680,1021,51,0,JohnRo07
Easton Stick,LAC,QB,28,5,4,1129,3,1,27,144,1,0,0,0,0,5,4,0,0,680,676,40,0,SticEa00
Kenneth Gainwell,PHI,RB,24,16,2,17,0,0,84,364,2,37,30,183,0,3,1,1,0,670,974,52,0,GainKe00
Nick Mullens,MIN,QB,28,5,3,1306,7,8,10,25,0,0,0,0,0,2,0,0,0,670,667,41,0,MullNi00
Taylor Heinicke,ATL,QB,30,5,4,890,5,4,15,124,1,0,0,0,0,1,0,0,0,660,660,42,0,HeinTa00
Latavius Murray,BUF,RB,33,16,4,0,0,0,79,300,4,22,17,119,0,1,0,0,0,660,829,53,0,MurrLa00
Rondale Moore,ARI,WR,23,17,8,0,0,0,28,178,1,62,40,352,1,1,0,0,0,650,1050,67,0,MoorRo02
Jimmy Garoppolo,LVR,QB,32,7,6,1205,7,9,20,39,0,0,0,0,0,1,0,0,1,640,641,43,0,GaroJi00
Kendrick Bourne,NWE,WR,28,8,5,0,0,0,1,4,0,55,37,406,4,1,1,0,0,630,1000,69,0,BourKe00
Alec Pierce,IND,WR,23,17,16,0,0,0,0,0,0,65,32,514,2,0,0,0,0,630,954,68,0,PierAl00
Nelson Agholor,BAL,WR,30,17,3,0,0,0,0,0,0,45,35,381,4,1,0,0,0,620,971,71,0,AghoNe00
Tyler Conklin,NYJ,TE,28,17,12,0,0,0,1,0,0,87,61,621,0,0,0,0,0,620,1231,21,0,ConkTy00
Tyler Higbee,LAR,TE,30,15,15,0,0,0,0,0,0,70,47,495,2,0,0,0,0,620,1085,22,0,HigbTy00
Kalif Raymond,DET,WR,29,17,3,0,0,0,7,75,0,44,35,489,1,1,0,0,0,620,974,70,0,RaymKa00
Justin Watson,KAN,WR,28,16,8,0,0,0,0,0,0,53,27,460,3,1,1,0,0,620,890,72,0,WatsJu01
Juwan Johnson,NOR,TE,27,13,11,0,0,0,0,0,0,59,37,368,4,0,0,0,0,610,978,24,0,JohnJu02
Keaton Mitchell,BAL,RB,21,8,2,0,0,0,47,396,2,11,9,93,0,0,0,0,0,610,699,54,0,MitcKe01
Demarcus Robinson,LAR,WR,29,16,4,0,0,0,1,23,0,39,26,371,4,2,1,0,0,610,874,73,0,RobiDe01
Miles Sanders,CAR,RB,26,16,5,0,0,0,129,432,1,41,27,154,0,2,2,0,0,610,876,55,0,SandMi01
Darren Waller,NYG,TE,31,12,11,0,0,0,0,0,0,74,52,552,1,0,0,0,0,610,1132,23,0,WallDa01
Gerald Everett,LAC,TE,29,15,12,0,0,0,3,10,0,70,51,411,3,3,0,0,0,600,1111,25,0,EverGe00
